X.SampleID	age_years	age_group	anonymized_name	antibiotics	bcs	bcs_grouping	primary_breed	at_risk	mix_breed	breed_grouping	country	crude_fiber_1000kcalg_me_group	description	dewormed	disease_stat	g_fat_1000kcal_me_group	g_protein_1000kcal_me_group	sex	gender_specific	spayed_neutered	histo	host_subject_id	indiv_g_fat_1000kcal_me_group	indiv_g_protein_1000kcal_me_group	indoor_outdoor	perc_crude_protein_min_group	percent_crude_fat_min_group	percent_crude_fiber_max_group	percent_met_cal_carb_group	percent_met_cal_fat_group	percent_met_cal_protein_group	protein_source	size_grouping	state_us	travel_history	weight_group	weight_kg
833.AHD.11	2	1	AHD.11	maybe_no			Chihuahua	no	no	Toy/Companion	Germany		IBD1_AHD-11_B5_R.K.1.20.12	No	acute_hem_diarrhea			female	F	no		AHD.11											small		no	1	1.5
833.AHD.12	4	2	AHD.12	maybe_no			Berger_Picard	no	no	Working	Germany		IBD1_AHD-12_B6_R.K.1.20.12		acute_hem_diarrhea			male	MC	yes		AHD.12											medium		no	4	33.6
833.AHD.13	8	3	AHD.13	maybe_no			Mixed_Breed	no	yes	Mixed	Germany		IBD1_AHD-13_B7_R.K.1.20.12	Yes	acute_hem_diarrhea			female	FS	yes		AHD.13											medium		no	1	7.2
833.AHD.14	4	2	AHD.14	definite_yes			Shar_pei	no	no	Working	Germany		IBD1_AHD-14_B8_R.K.1.20.12		acute_hem_diarrhea			female	FS	yes		AHD.14											medium		yes	2	19.2
833.AHD.15	1	1	AHD.15	definite_yes			German_Shepherd_Dog	yes	yes	Working	Germany		IBD1_AHD-15_B9_R.K.1.20.12	No	acute_hem_diarrhea			male	M	no		AHD.15											large		yes	5	42
833.AHD.16	2	1	AHD.16	definite_yes			West_Highland_White_Terrier	no	no	Terrier	Germany		IBD1_AHD-16_B10_R.K.1.20.12	No	acute_hem_diarrhea			female	F	no		AHD.16											small		yes	1	7
833.AHD.17	5	2	AHD.17	maybe_no			Labrador_Retriever	no	yes	Sporting	Germany		IBD1_AHD-17_B11_R.K.1.20.12	No	acute_hem_diarrhea			male	MC	yes		AHD.17											large		no	4	35.2
833.AHD.18	6	3	AHD.18	definite_yes			Cairn_Terrier	no	no	Terrier	Germany		IBD1_AHD-18_B12_R.K.1.20.12	No	acute_hem_diarrhea			female	FS	yes		AHD.18											small		yes	1	10.4
833.AHD.19	3	2	AHD.19	definite_yes			Fox_Terrier	no	no	Terrier	Germany		IBD1_AHD-19_C1_R.K.1.20.12	No	acute_hem_diarrhea			male	M	no		AHD.19											small		yes	2	12
833.AHD.21	7	3	AHD.21	maybe_no			Podenco	no	no	Hound	Germany		IBD1_AHD-21_C2_R.K.1.20.12	Yes	acute_hem_diarrhea			female	F	no		AHD.21											medium		no	2	16
833.AHD.22	12	4	AHD.22	definite_yes			Golden_Retriever	no	no	Sporting	Germany		IBD1_AHD-22_C3_R.K.1.20.12		acute_hem_diarrhea			female	FS	yes		AHD.22											medium		yes	3	29
833.AHD.23	10	4	AHD.23	maybe_no			Afghan_Hound	no	no	Hound	Germany		IBD1_AHD-23_C4_R.K.1.20.12	Yes	acute_hem_diarrhea			female	FS	yes		AHD.23											large		no	3	23.4
